sale_id,store_id,product_id,quantity,sale_date,amount
1,S01,P01,3,2024-01-10,450.00
2,S01,P02,1,2024-01-10,199.99
3,S02,P03,2,2024-01-10,
4,S02,P01,5,2024-01-11,750.00
5,S03,P04,,2024-01-11,300.00
6,S03,P02,2,2024-01-11,399.98
7,S01,P05,4,2024-01-12,600.00
8,S04,P03,1,2024-01-12,180.00
9,S04,P01,3,2024-01-12,450.00
10,S05,P04,6,2024-01-13,
11,S05,P05,2,2024-01-13,300.00
12,S02,P02,3,2024-01-13,599.97
13,S03,P01,4,2024-01-14,600.00
14,S04,P05,1,2024-01-14,150.00
15,S05,P03,2,2024-01-14,360.00
16,S01,P03,3,2024-01-15,540.00
17,S02,P04,5,2024-01-15,250.00
18,S03,P05,2,2024-01-15,300.00
19,S04,P02,4,2024-01-16,799.96
20,S05,P01,6,2024-01-16,900.00
21,S01,P04,2,2024-01-16,100.00
22,S02,P05,3,2024-01-17,450.00
23,S03,P03,1,2024-01-17,180.00
24,S04,P04,4,2024-01-17,200.00
25,S05,P02,2,2024-01-17,399.98
26,S01,P01,5,2024-01-18,750.00
27,S02,P03,3,2024-01-18,
28,S03,P02,1,2024-01-18,199.99
29,S04,P01,2,2024-01-18,300.00
30,S05,P04,,2024-01-18,150.00
31,S01,P02,4,2024-01-19,799.96
32,S02,P01,6,2024-01-19,900.00
33,S03,P05,3,2024-01-19,450.00
34,S04,P03,5,2024-01-20,900.00
35,S05,P01,4,2024-01-20,600.00
36,S01,P05,2,2024-01-20,300.00
37,S02,P04,3,2024-01-20,150.00
38,S03,P01,7,2024-01-21,1050.00
39,S04,P02,2,2024-01-21,399.98
40,S05,P05,5,2024-01-21,750.00
41,S01,P03,4,2024-01-21,720.00
42,S02,P02,2,2024-01-22,399.98
43,S03,P04,6,2024-01-22,300.00
44,S05,P01,3,2024-01-22,450.00
3,S02,P03,2,2024-01-10,
9,S04,P01,3,2024-01-12,450.00
26,S01,P01,5,2024-01-18,750.00
